YEAR,MONTH,DAY,TMAX,TMIN
2017,4,10,35.2,27
2017,4,11,35.8,26.3
2017,4,12,36.2,25.2
2017,4,13,36.7,24.8
2017,4,14,35.3,25
2017,4,15,35,27
2017,4,16,31,24.8
2017,4,17,34.8,25.2
2017,4,18,34.7,24.8
2017,4,19,35,26.4
2017,4,20,35.4,26.2
2017,4,21,35.6,25.6
2017,4,22,36.4,26.3
2017,4,23,34.6,20.5
2017,4,24,34.6,25.6
2017,4,25,36.4,24.7
2017,4,26,36.6,27.1
2017,4,27,36,25.6
2017,4,28,36,25.3
2017,4,29,34.8,26
2017,4,30,33.8,26.2
2017,5,1,35.2,26.6
2017,5,2,35.2,25.4
2017,5,3,34.4,24.3
2017,5,4,35.9,24.5
2017,5,5,35.6,25.8
2017,5,6,35.4,25.7
2017,5,7,35.6,25.8
2017,5,8,35.6,25.2
2017,5,9,37.2,26.8
2017,5,10,35.2,27
2017,5,11,35.2,27.1
2017,5,12,35.8,26.4
2017,5,13,36.2,26.6
2017,5,14,35.4,26.2
2017,5,15,35.8,26.8
2017,5,16,34,26.2
2017,5,17,33.2,25
2017,5,18,33.2,26.3
2017,5,19,34,25.8
2017,5,20,32.4,26.4
2017,5,21,34.5,25.6
2017,5,22,33.2,25.3
2017,5,23,31.4,25
2017,5,24,31.3,25.7
2017,5,25,31.5,25.2
2017,5,26,32.2,24.8
2017,5,27,32,25.3
2017,5,28,33.4,26.2
2017,5,29,34.6,25.4
2017,5,30,34.4,25.8
2017,5,31,32.2,24.8
2017,6,1,32.1,24.4
2017,6,2,31.4,24.8
2017,6,3,34.4,25.2
2017,6,4,32.5,26
2017,6,5,34.6,23.6
2017,6,6,34.8,27
2017,6,7,32,26
2017,6,8,34,26.2
2017,6,9,33.6,25.2
2017,6,10,28.8,24.8
2017,6,11,29.8,24.4
2017,6,12,33.1,26.2
2017,6,13,34.2,26.2
2017,6,14,35,25.7
2017,6,15,34.4,24.2
2017,6,16,33.8,25.4
2017,6,17,34.4,26.2
2017,6,18,35.4,24.8
2017,6,19,34.8,26.4
2017,6,20,34.6,26.4
2017,6,21,34.6,26
2017,6,22,33.2,24.8
2017,6,23,31.6,24.7
2017,6,24,34.5,26
2017,6,25,35.8,24.6
2017,6,26,36,27.4
2017,6,27,34.6,26
2017,6,28,33.5,24
2017,6,29,32.3,25.8
2017,6,30,34.4,26
2017,7,1,35.2,25.3
2017,7,2,33.8,23.2
2017,7,3,31.4,24.6
2017,7,4,30.2,24.4
2017,7,5,31.4,24.8
2017,7,6,34.1,25
2017,7,7,35,26.2
2017,7,8,33,23.7
2017,7,9,33.4,25.7
2017,7,10,32.2,25.4
2017,7,11,32.2,24.8
2017,7,12,31.8,24.6
2017,7,13,32,24.8
2017,7,14,31.3,23.6
2017,7,15,31.3,24.5
2017,7,16,31.2,24.4
2017,7,17,32.6,25.3
2017,7,18,31.4,25
2017,7,19,30.2,25
2017,7,20,29.8,24
2017,7,21,29.4,24.2
2017,7,22,29.8,24.5
2017,7,23,29.7,24.2
2017,7,24,32.2,24.6
2017,7,25,31.5,24.6
2017,7,26,26.2,24.4
2017,7,27,27.8,24.8
2017,7,28,29.6,25.4
2017,7,29,29.8,25.6
2017,7,30,30.7,25.3
2017,7,31,31.9,25.6
2017,8,1,33.1,26
2017,8,2,30.7,25.6
2017,8,3,31.8,24.8
2017,8,4,31.2,23.4
2017,8,5,29.8,25.4
2017,8,6,31.6,25.4
2017,8,7,32.8,25.6
2017,8,8,33.6,24.3
2017,8,9,32,24.4
2017,8,10,32,24.4
2017,8,11,33.8,26
2017,8,12,34.4,26.2
2017,8,13,33.6,24.8
2017,8,14,33.6,25.8
2017,8,15,34.4,25.2
2017,8,16,35,25.8
2017,8,17,34,26.4
2017,8,18,34.3,24
